b_key,legacy_key,title,identifier,metadata_status,reading_status
b1,,Synthetic Audiences as Proxies for Human Users: A Systematic Literature Review,10.1109/ACCESS.2026.3703706,curated_verified,chapter_cited
b2,,{BanglaBERT}: Language Model Pretraining and Benchmarks for Low-Resource Language Understanding Evaluation in Bangla,10.18653/v1/2022.findings-naacl.98,curated_verified,chapter_cited
b3,,Language-Agnostic {BERT} Sentence Embedding,10.18653/v1/2022.acl-long.62,curated_verified,chapter_cited
b4,hossain2026banglamoviereviews,Raw Bangla Movie Review Comment Dataset for Sentiment Analysis and Natural Language Processing,10.17632/vwp7gnj3d6.3,researcher_confirmed_dataset_v3,chapter_cited
b5,,Large Language Models Cannot Self-Correct Reasoning Yet,,curated_verified,chapter_cited
b6,,When Can {LLMs} Actually Correct Their Own Mistakes? A Critical Survey of Self-Correction of {LLMs},10.1162/tacl_a_00713,curated_verified,chapter_cited
b7,,Detecting Proxy Gaming in {RL} and {LLM} Alignment via Evaluator Stress Tests,10.18653/v1/2026.findings-acl.513,curated_verified,chapter_cited
b8,,Retrieval-Augmented Generation for Knowledge-Intensive {NLP} Tasks,,curated_verified,chapter_cited
b9,,Mixture-of-Personas Language Models for Population Simulation,2504.05019,curated_verified,chapter_cited
b10,,{SimAB}: Simulating {A/B} Tests with Persona-Conditioned {AI} Agents for Rapid Design Evaluation,2603.01024,curated_verified,chapter_cited
b11,,{FUDGE}: Controlled Text Generation With Future Discriminators,10.18653/v1/2021.naacl-main.276,curated_verified,chapter_cited
b12,sands2026,An evaluation of {LLMs} for generating movie reviews: {GPT-4o,10.1007/s00521-026-12247-0,registry_metadata_preserved,chapter_cited
b13,,Self-Refine: Iterative Refinement with Self-Feedback,2303.17651,curated_verified,chapter_cited
b14,,Reflexion: Language Agents with Verbal Reinforcement Learning,,curated_verified,chapter_cited
b15,selfcorrectionillusion2026,The Self-Correction Illusion: Role Relabeling Gates Explicit Error Flagging in Large Language Models,2606.05976,registry_metadata_preserved,chapter_cited
b16,,"Sample More, Reflect Less: Self-Refine and Reflexion Lose to Repeated Sampling at Equal Token Cost, from 1.5B to 7B",2607.28576,curated_verified,chapter_cited
b17,bilal2026refining,Refining Over Resampling: Test-Time Self-Correction for {LLM} Reasoning,2608.05643,registry_metadata_preserved,chapter_cited
b18,,"Self-Correction as Feedback Control: Error Dynamics, Stability Thresholds, and Prompt Interventions in {LLMs}",2604.22273,curated_verified,chapter_cited
b19,,{HybridRAG-BN}: A Retrieval-Augmented Framework with Fine-Tuned Verification for Bangla {KBQA},2608.13004,curated_verified,chapter_cited
b20,,{SymDiag}: Explainable Diagnosis for {LLM} Reasoning via Neuro-Symbolic Verification,10.1145/3770855.3818004,curated_verified,chapter_cited
b21,saleh2026agenticcomplexity,The Illusion of Agentic Complexity in {README.md} Generation: Evaluating Single-Agent vs. Multi-Agent {RAG} Systems,10.48550/arXiv.2606.30524,registry_metadata_preserved,chapter_cited
b22,yang2026judgechanges,"When the Judge Changes, So Does the Measurement: Auditing {LLM}-as-Judge Reliability",2607.08535,registry_metadata_preserved,chapter_cited
b23,pombal2026selfpreference,Self-Preference Bias in Rubric-Based Evaluation of Large Language Models,2604.06996,registry_metadata_preserved,chapter_cited
b24,fu2025multilingualjudge,How Reliable is Multilingual {LLM}-as-a-Judge?,,registry_metadata_preserved,chapter_cited
b25,ponce2026basquejudge,Judging Instruction Responses in a Low-Resource Language: A Case Study on Basque,10.63317/32e7ij6myh5i,registry_metadata_preserved,chapter_cited
b26,mitra2025muril,Exploring {MuRIL} for Emotion Detection in {Bangla} Text,,primary_author_resolved,chapter_cited
b27,hassin2026banglablend,Banglablend Based Evaluation of {Bengali} Formal and Colloquial Text Classification,,primary_author_resolved,chapter_cited
b28,mazumder2025banglaforms,Transformer-Based Approach for Accurately Identifying Saint and Common Forms of {Bangla} Language,,primary_author_resolved,chapter_cited
b29,,Best-Worst Scaling More Reliable than Rating Scales: A Case Study on Sentiment Intensity Annotation,10.18653/v1/P17-2074,curated_verified,chapter_cited
b30,,The Benefits of Diversity: Combining Comparisons and Ratings for Efficient Scoring,2602.08033,curated_verified,chapter_cited
b31,,Content Analysis: An Introduction to Its Methodology,,curated_verified,chapter_cited
b32,,{HEDS} 3.0: The Human Evaluation Data Sheet Version 3.0,10.18653/v1/2025.gem-1.6,curated_verified,chapter_cited
b33,zouhar2025selectdatapoints,How to Select Datapoints for Efficient Human Evaluation of {NLG} Models?,10.1162/tacl.a.60,registry_metadata_preserved,chapter_cited
b34,riley2024stableranking,Finding Replicable Human Evaluations via Stable Ranking Probability,,registry_metadata_preserved,chapter_cited
b35,pandita2026annotatormodeling,Improving Reproducibility in Evaluation through Multi-Level Annotator Modeling,,registry_metadata_preserved,chapter_cited
b36,levtsov2025globalscores,Confidence and Stability of Global and Pairwise Scores in {NLP} Evaluation,,registry_metadata_preserved,chapter_cited
b37,james2026agreement,Counting on Consensus: Selecting the Right Inter-annotator Agreement Metric for {NLP} Annotation and Evaluation,,registry_metadata_preserved,chapter_cited
b38,,Cluster Validation by Prediction Strength,10.1198/106186005X59243,curated_verified,chapter_cited
b39,,Comparing Partitions,10.1007/BF01908075,curated_verified,chapter_cited
b40,,Estimating the Number of Clusters in a Data Set via the Gap Statistic,10.1111/1467-9868.00293,curated_verified,chapter_cited
b41,campello2013,Density-Based Clustering Based on Hierarchical Density Estimates,,registry_metadata_preserved,chapter_cited
b42,,{hdbscan}: Hierarchical Density Based Clustering,10.21105/joss.00205,curated_verified,chapter_cited
b43,,Silhouettes: A Graphical Aid to the Interpretation and Validation of Cluster Analysis,10.1016/0377-0427(87)90125-7,curated_verified,chapter_cited
b44,gwet2008ac1,Computing Inter-Rater Reliability and Its Variance in the Presence of High Agreement,,registry_metadata_preserved,chapter_cited
b45,vach2023ac1,Gwet's {AC1} Is Not a Substitute for {Cohen's} Kappa -- A Comparison of Basic Properties,,registry_metadata_preserved,chapter_cited
b46,gundersen2023conclusions,On Reporting Robust and Trustworthy Conclusions from Model Comparison Studies Involving Neural Networks and Randomness,,primary_author_resolved,chapter_cited
b47,casola2022transformers,Pre-trained transformers: an empirical comparison,,primary_author_resolved,chapter_cited
b48,fu2023stability,A Stability Analysis of Fine-Tuning a Pre-Trained Model,2301.09820,primary_metadata_corrected,chapter_cited
b49,,The Hitchhiker's Guide to Testing Statistical Significance in Natural Language Processing,10.18653/v1/P18-1128,curated_verified,chapter_cited
b50,,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,10.1111/j.2517-6161.1995.tb02031.x,curated_verified,chapter_cited
b51,laurer2023bertnli,"Less Annotating, More Classifying: Addressing the Data Scarcity Issue of Supervised Machine Learning with Deep Transfer Learning and {BERT-NLI}",,primary_author_resolved,chapter_cited
b52,bucher2024finetuned,Fine-Tuned 'Small' {LLMs} (Still) Significantly Outperform Zero-Shot Generative {AI} Models in Text Classification,,primary_author_resolved,chapter_cited
b53,,On Calibration of Modern Neural Networks,,curated_verified,chapter_cited
b54,balanya2022adaptivetemp,Adaptive temperature scaling for robust calibration of deep neural networks,,primary_author_resolved,chapter_cited
b55,,{MAUVE}: Measuring the Gap Between Neural Text and Human Text Using Divergence Frontiers,,curated_verified,chapter_cited
b56,monroe2008fightinwords,Fightin' Words: Lexical Feature Selection and Evaluation for Identifying the Content of Political Conflict,10.1093/pan/mpn018,registry_metadata_preserved,full_or_primary_record
b57,verma2026blindresampling,"Try Again, Don't Look Back: Blind Resampling Outperforms Self-Repair in Small Code Models",2607.26117,registry_metadata_preserved,full_or_primary_record
b58,cobbe2021verifiers,Training Verifiers to Solve Math Word Problems,2110.14168,registry_metadata_preserved,full_or_primary_record
b59,bethard2022seeds,We Need to Talk About Random Seeds,10.48550/arXiv.2210.13393,primary_metadata_corrected,metadata_verified_not_full_read
b60,xue2023reproducibility,We Need to Talk About Reproducibility in {NLP} Model Comparison,10.18653/v1/2023.emnlp-main.586,primary_metadata_corrected,metadata_verified_not_full_read
b61,tunstall2022setfit,Efficient Few-Shot Learning Without Prompts,,primary_author_resolved,metadata_verified_not_full_read
b62,beliveau2024smalldata,Classification of Radiological Text in Small and Imbalanced Datasets in a Non-English Language,,primary_author_resolved,metadata_verified_not_full_read
b63,guo2025smart,Sample Margin-Aware Recalibration of Temperature Scaling,,primary_author_resolved,metadata_verified_not_full_read
b64,hasan2025banglaemotion,"Emotion Classification in {Bangla}: A Comprehensive Comparison of {BanglaBERT}, {mBERT}, and {XLM-RoBERTa} with Error Analysis and Significance Testing",,primary_author_resolved,metadata_verified_not_full_read
b65,hasan2023banglawar,Natural Language Processing and Sentiment Analysis on {Bangla,,primary_author_resolved,metadata_verified_not_full_read
