item,text_a,text_b,is_duplicate,note
A001,দারুন সিনেমা খুব ভালো লাগলো,"অসাধারণ সুন্দর একটা মুভি,,, খুব ভালো লাগলো",,
A002,প্রোডাকশন কোয়ালিটি খুব ভাল।,প্রডাকশন কোয়ালিটি অনেক ভালো।,,
A003,খুবি সুন্দর একটা সিনেমা,অসাধারণ একটি সিনেমা,,
A004,গল্পের মাঝে কিছু অপ্রয়োজনীয় দৃশ্য ছিল।,গল্পের ভিতরে কিছু অনাবশ্যক দৃশ্য ছিল।,,
A005,সিনেমার সেট ডিজাইন সাধারণ এবং গল্পের সাথে মানায়নি।,সেট ডিজাইন সাধারণ এবং গল্পের সাথে মানায়নি।,,
A006,"কিছু দৃশ্য দর্শকের কাছে স্মরণীয় হতে পারে, আবার কিছু সহজে ভুলে যাওয়া যায়।","কিছু দৃশ্য মনে রেখে যায়, কিছু সহজে ভুলে যায়।",,
A007,যুগ যুগ ধরে অমর হয়ে থাকবে এই মুভিটার কাহিনি সত্যি আজ ছবিটি দেখে চোখের পানি ধরে রাখতে পারি নি মান্না ইজ বেস্ট এক্টর এমন অভিনেতা আর এই দুনিয়ায় জন্ম হবে না,"যুগ যুগ ধরে অমর হয়ে থাকবে এই মুভিটার কাহিনি,,,সত্যি আজ ছবিটি দেখে চোখের পানি ধরে রাখতে পারি নি,,,মান্না ইজ বেস্ট এক্টর",,
A008,"গল্প সরল, অভিনয় ঠিক আছে, মিউজিক সাধারণ। একবার দেখার মতো।","গল্প সরল, ভিজ্যুয়াল ভালো, মিউজিক সাধারণ। মোটামুটি দেখার মতো।",,
A009,সিনেমার লাইটিং অনেক ক্ষেত্রে অস্বাভাবিক ও অপ্রাকৃতিক।,সিনেমার লাইটিং অনেক দৃশ্যে অস্বাভাবিক।,,
A010,গল্পের ধারা ধারাবাহিক ও আকর্ষণীয়।,গল্পের ধারা সহজবোধ্য এবং আকর্ষণীয়।,,
A011,সংলাপগুলো প্রায়শই বাজে এবং অসংলগ্ন।,সংলাপগুলো প্রায়ই অর্থহীন এবং অসংলগ্ন।,,
A012,"অ্যাকশন দৃশ্যগুলো ঠিকঠাক ছিল, চমকপ্রদ না।","অ্যাকশন দৃশ্যগুলো ঠিকঠাক ছিল, খুব ধামাকা কিছু নেই।",,
A013,"সিনেমার টোন সারা সময় একই ছিল, তেমন পরিবর্তন আসেনি।","মুভির টোন পুরোটা সময় একই ছিল, খুব ওঠানামা ছিল না।",,
