item_id,annotator,rating
G001,A,1
G001,B,1
G002,A,2
G002,B,2
G003,A,2
G003,B,1
G004,A,2
G004,B,2
G005,A,2
G005,B,1
G006,A,2
G006,B,1
G007,A,2
G007,B,1
G008,A,2
G008,B,1
G009,A,3
G009,B,3
G010,A,2
G010,B,1
G011,A,3
G011,B,3
G012,A,3
G012,B,2
G013,A,2
G013,B,2
G014,A,1
G014,B,3
G015,A,2
G015,B,2
G016,A,2
G016,B,3
G017,A,2
G017,B,2
G018,A,2
G018,B,2
G019,A,2
G019,B,2
G020,A,3
G020,B,3
G021,A,2
G021,B,2
G022,A,3
G022,B,3
G023,A,2
G023,B,2
G024,A,1
G024,B,2
G025,A,2
G025,B,2
G026,A,2
G026,B,2
G027,A,2
G027,B,3
G028,A,2
G028,B,2
G029,A,2
G029,B,2
G030,A,2
G030,B,2
G031,A,2
G031,B,2
G032,A,2
G032,B,2
G033,A,3
G033,B,2
G034,A,2
G034,B,2
G035,A,3
G035,B,2
G036,A,2
G036,B,3
G037,A,2
G037,B,2
G038,A,2
G038,B,2
G039,A,1
G039,B,2
G040,A,2
G040,B,2
G041,A,2
G041,B,2
G042,A,3
G042,B,2
G043,A,2
G043,B,2
G044,A,2
G044,B,2
G045,A,1
G045,B,1
G046,A,3
G046,B,3
G047,A,3
G047,B,3
G048,A,2
G048,B,2
G049,A,2
G049,B,2
G050,A,2
G050,B,2
G051,A,3
G051,B,2
G052,A,2
G052,B,2
G053,A,2
G053,B,2
G054,A,2
G054,B,2
G055,A,2
G056,A,2
G056,B,2
G057,A,2
G057,B,2
G058,A,2
G058,B,2
G059,A,2
G059,B,3
G060,A,2
G061,A,2
G061,B,3
G062,A,2
G062,B,2
G063,A,2
G063,B,2
G064,A,2
G064,B,2
G065,A,1
G065,B,2
G066,A,2
G066,B,2
G067,A,2
G067,B,2
G068,A,1
G068,B,2
G069,A,2
G069,B,2
G070,A,2
G070,B,2
G071,A,2
G071,B,2
G072,A,2
G072,B,2
G073,A,2
G073,B,2
G074,A,2
G074,B,2
G075,A,2
G075,B,2
G076,A,2
G076,B,2
G077,A,2
G077,B,2
G078,A,2
G078,B,3
G079,A,3
G079,B,2
G080,A,3
G080,B,3
G081,A,2
G081,B,2
G082,A,2
G082,B,2
G083,A,2
G083,B,2
G084,A,3
G084,B,3
G085,A,2
G085,B,2
G086,A,1
G086,B,1
G087,A,2
G087,B,2
G088,A,2
G088,B,2
G089,A,2
G089,B,3
G090,A,2
G090,B,2
G091,A,3
G091,B,3
G092,A,3
G092,B,3
G093,A,1
G093,B,3
G094,A,1
G094,B,2
G095,A,2
G095,B,2
G096,A,2
G096,B,2
G097,A,2
G097,B,2
G098,A,2
G098,B,2
G099,A,1
G099,B,2
G100,A,2
G100,B,2
G101,A,2
G101,B,3
G102,A,2
G102,B,2
G103,A,1
G103,B,2
G104,A,2
G104,B,3
G105,A,2
G105,B,3
G106,A,2
G106,B,2
G107,A,2
G107,B,2
G108,A,1
G108,B,2
G109,A,2
G109,B,2
G110,A,2
G110,B,2
G111,A,2
G111,B,2
G112,A,2
G112,B,2
G113,A,2
G113,B,2
G114,A,2
G114,B,2
G115,A,1
G115,B,2
G116,A,2
G116,B,2
G117,A,2
G117,B,2
G118,A,2
G118,B,2
G119,A,2
G119,B,2
G120,A,2
G120,B,2
G121,A,2
G121,B,2
G122,A,2
G122,B,2
G123,A,2
G123,B,2
G124,A,2
G124,B,2
G125,A,2
G125,B,2
G126,A,2
G126,B,2
G127,A,2
G127,B,2
G128,A,3
G128,B,2
G129,A,2
G129,B,2
G130,A,3
G130,B,3
G131,A,2
G131,B,2
G132,A,2
G132,B,2
G133,A,2
G133,B,2
G134,A,3
G134,B,3
G135,A,2
G135,B,2
G136,A,3
G136,B,3
G137,A,2
G137,B,2
G138,A,3
G138,B,3
G139,A,2
G139,B,2
G140,A,2
G140,B,2
G141,A,3
G141,B,3
G142,A,2
G142,B,2
G143,A,2
G143,B,2
G144,A,2
G144,B,2
G145,A,2
G145,B,3
G146,A,3
G146,B,2
G147,A,2
G147,B,2
G148,A,3
G148,B,2
G149,A,3
G149,B,2
G150,A,2
G150,B,2
G151,A,1
G151,B,1
G152,A,2
G152,B,2
G153,A,2
G153,B,2
G154,A,2
G154,B,2
G155,A,2
G155,B,3
G156,A,2
G156,B,2
G157,A,3
G157,B,3
G158,A,3
G158,B,3
G159,A,2
G159,B,2
G160,A,3
G160,B,2
G161,A,2
G161,B,2
G162,A,3
G162,B,2
G163,A,2
G163,B,2
G164,A,2
G164,B,2
G165,A,2
G165,B,2
G166,A,2
G166,B,2
G167,A,2
G167,B,2
G168,A,2
G168,B,2
G169,A,2
G169,B,2
G170,A,2
G170,B,2
G171,A,2
G171,B,2
G172,A,2
G172,B,2
G173,A,2
G173,B,2
G174,A,3
G174,B,2
G175,A,2
G175,B,2
G176,A,3
G176,B,2
G177,A,2
G177,B,2
G178,A,3
G178,B,2
G179,A,3
G179,B,2
G180,A,3
G180,B,2
G181,A,2
G181,B,3
G182,A,2
G182,B,2
G183,A,3
G183,B,2
G184,A,3
G184,B,3
G185,A,2
G185,B,2
G186,A,3
G186,B,3
G187,A,1
G187,B,2
G188,A,3
G188,B,3
G189,A,2
G189,B,2
G190,A,2
G190,B,2
G191,A,3
G191,B,3
G192,A,2
G192,B,2
G193,A,1
G193,B,2
G194,A,3
G194,B,2
G195,A,2
G195,B,2
G196,A,2
G196,B,2
G197,A,2
G197,B,2
G198,A,2
G198,B,2
G199,A,2
G199,B,2
G200,A,2
G200,B,2
G201,A,3
G201,B,3
G202,A,2
G202,B,2
G203,A,3
G203,B,2
G204,A,2
G204,B,2
G205,A,1
G205,B,2
G206,A,2
G206,B,2
G207,A,3
G207,B,2
G208,A,3
G208,B,2
G209,A,3
G209,B,3
G210,A,2
G210,B,3
G211,A,2
G211,B,2
G212,A,3
G212,B,2
G213,A,2
G213,B,2
G214,A,2
G214,B,2
G215,A,2
G215,B,2
G216,A,2
G216,B,2
G217,A,2
G217,B,2
G218,A,2
G218,B,2
G219,A,2
G219,B,2
G220,A,2
G220,B,2
G221,A,1
G221,B,2
G222,A,2
G222,B,2
G223,A,2
G223,B,2
G224,A,2
G224,B,2
G225,A,1
G225,B,2
G226,A,3
G226,B,3
G227,A,3
G227,B,3
G228,A,2
G228,B,2
G229,A,2
G229,B,2
G230,A,2
G230,B,2
G231,A,1
G231,B,2
G232,A,2
G232,B,2
G233,A,2
G233,B,2
G234,A,0
G234,B,2
G235,A,2
G235,B,2
G236,A,2
G236,B,2
G237,A,1
G237,B,1
G238,A,2
G238,B,2
G239,A,3
G239,B,3
G240,A,3
G240,B,2
G241,A,2
G241,B,2
G242,A,2
G242,B,2
G243,A,2
G243,B,2
G244,A,2
G244,B,2
G245,A,2
G245,B,2
G246,A,2
G246,B,2
G247,A,3
G247,B,3
G248,A,3
G248,B,3
G249,A,2
G249,B,2
G250,A,2
G250,B,3
G251,A,2
G251,B,2
G252,A,1
G252,B,2
G253,A,3
G253,B,3
G254,A,2
G254,B,2
G255,A,2
G255,B,2
G256,A,3
G256,B,3
G257,A,3
G257,B,3
G258,A,2
G258,B,2
G259,A,2
G259,B,2
G260,A,3
G260,B,3
G261,A,2
G261,B,2
G262,A,2
G262,B,2
G263,A,3
G263,B,2
G264,A,3
G264,B,3
G265,A,2
G265,B,2
G266,A,2
G266,B,2
G267,A,3
G267,B,3
G268,A,3
G268,B,3
G269,A,2
G269,B,2
G270,A,2
G270,B,2
G271,A,2
G271,B,2
G272,A,3
G272,B,2
G273,A,2
G273,B,3
G274,A,3
G274,B,2
G275,A,2
G275,B,2
G276,A,2
G276,B,2
G277,A,3
G277,B,3
G278,A,3
G278,B,3
G279,A,3
G279,B,3
G280,A,2
G280,B,2
G281,A,2
G281,B,2
G282,A,2
G282,B,2
G283,A,3
G283,B,3
G284,A,2
G284,B,2
G285,A,3
G285,B,3
G286,A,2
G286,B,2
G287,A,2
G287,B,2
G288,A,2
G288,B,2
G289,A,3
G289,B,3
G290,A,2
G290,B,2
G291,A,2
G291,B,3
G292,A,1
G292,B,2
G293,A,0
G293,B,2
G294,A,2
G294,B,2
G295,A,2
G295,B,2
G296,A,2
G296,B,2
G297,A,3
G297,B,2
G298,A,3
G298,B,2
G299,A,2
G299,B,2
G300,A,2
G300,B,2
